ID,Database,Table,field_group,Field_Name,Data_Sample,Takin comment,Field_Set,Weight,Mapping Use,Relevant_Model,CRM Class,Primary_Field,Primary_Ontology_Long_Path,Primary_Expected_Value_Type (from Primary_Field),Primary_Expected_Collection_Model,Primary_Expected_Resource_Model,Set_Value_Primary_Field,Primary_Field_Type,Secondary_Field,Secondary_Ontology_Long_Path,Secondary_Expected_Value_Type,Secondary_Expected_Collection_Model,Secondary_Expected_Resource_Model,Set_Value_Secondary_Field,Secondary_Field_Type,Tertiary_Field,Tertiary_Ontology_Long_Path,Tertiary_Expected_Value_Type,Tertiary_Expected_Collection_Model,Set_Value_Tertiary_Field,Tertiary_Field_Type,Quaternary_Field,Quaternary_Ontology_Long_Path,Quaternary_Expected_Collection_Model,Quaternary_Expected_Resource_Model,Quaternary_Expected_Value_Type,Set_Value_Quaternary_Field,Quaternary_Field_Type
GLBMAP.169_parent_location_source,3_Places,GLBMTAB.13_places_sample_locations,parent,parent_location_source,779; map after title page,,SRDF.816_topographical_status_specific_citation,21,Yes,GLBM.2_Place,E53 Place,SRDF.816_topographical_status_specific_citation,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.816_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.368_specific_citation_part_of_bibliographic_item,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1],Reference Model,,SRDM.8_Bibliographic_Item,,content,,,,,,,,,,,,,
GLBMAP.170_parent_location_TEMP,3_Places,GLBMTAB.13_places_sample_locations,parent,parent_location_TEMP,Coromandel Coast,,SRDF.758_topographical_status_ascribed_place,22,Yes,GLBM.2_Place,E53 Place,SRDF.758_topographical_status_ascribed_place,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->aaao:ZP77_ascribes_place->crm:E53_Place[SRDF.758_1],Reference Model,,SRDM.5_Place,,content,,,,,,,,,,,,,,,,,,,,
GLBMAP.171_parent_source_page,3_Places,GLBMTAB.13_places_sample_locations,parent,parent_source_page,50,,SRDF.816_topographical_status_specific_citation,23,Yes,GLBM.2_Place,E53 Place,SRDF.816_topographical_status_specific_citation,->aaao:ZP85i_is_topographical_subject_of->aaao:ZE44_Topographical_Status[SRDF.752_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.816_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.367_specific_citation_identifier,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1],Collection,SRDC.14_identifier,,,pass through,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,content,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],,,Concept,http://vocab.getty.edu/aat/300445022,additional
GLBMAP.172_pref_label,3_Places,GLBMTAB.13_places_sample_locations,,pref_label,Alandale,,"LAF.6_name_content,LAF.5_name_type",24,Yes,GLBM.2_Place,E53 Place,SRDF.524_appellative_status_ascribed_appellation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->aaao:ZP6_ascribes_appellation->crm:E33_E41_Linguistic_Appellation[SRDF.524_1],Collection,SRDC.9_name,,,pass through,LAF.6_name_content,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.5_name_type,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P2_has_type->crm:E55_Type[5_1],Concept,,https://vocab.getty.edu/aat/300404670,additional,,,,,,,
GLBMAP.173_whg_id,3_Places,GLBMTAB.13_places_sample_locations,,whg_id,4667218,,"LAF.10_identifier_content,LAF.9_identifier_type",25,Yes,GLBM.2_Place,E53 Place,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content pass through,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],Concept,,,wgh_id,additional,,,,,,,,,,,,,
GLBMAP.145_place_types,3_Places,GLBMTAB.14_places_sample_Location Types,,place_types,island,,SRDF.375_classificatory_status_classification,10,Yes,GLBM.2_Place,E53 Place,SRDF.375_classificatory_status_classification,->aaao:ZP11i_is_classificatory_subject_of->aaao:ZE4_Classificatory_Status[SRDF.372_1]->aaao:ZP12_ascribes_classification->crm:E55_Type[SRDF.375_1],Concept,,,,content,,,,,,,,,,,,,,,,,,,,
GLBMAP.146_remarks,3_Places,GLBMTAB.14_places_sample_Location Types,,remarks,"GM 6:779 identified this place as one of the ""outer villages [buitendorpen] of Negapatam""",,"SRDF.384_classificatory_status_statement,LAF.15_statement_content,LAF.14_statement_type",11,Yes,GLBM.2_Place,E53 Place,SRDF.384_classificatory_status_statement,->aaao:ZP11i_is_classificatory_subject_of->aaao:ZE4_Classificatory_Status[SRDF.372_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.384_1],Collection,SRDC.2_statement,,,pass through,LAF.14_statement_type,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P2_has_type->crm:E55_Type[14_1],Concept,,,http://vocab.getty.edu/aat/300435415,additional/pass,LAF.15_statement_content,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,,,,,,,
GLBMAP.147_source,3_Places,GLBMTAB.14_places_sample_Location Types,,source,https://www.zotero.org/groups/4678659/items/S37QQBGX,,"SRDF.789_classificatory_status_specific_citation,SRDF.368_specific_citation_part_of_bibliographic_item",12,Yes,GLBM.2_Place,E53 Place,SRDF.789_classificatory_status_specific_citation,->aaao:ZP11i_is_classificatory_subject_of->aaao:ZE4_Classificatory_Status[SRDF.372_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.368_specific_citation_part_of_bibliographic_item,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1],Reference Model,,SRDM.8_Bibliographic_Item,,content,,,,,,,,,,,,,
GLBMAP.148_source_page,3_Places,GLBMTAB.14_places_sample_Location Types,,source_page,183,,"SRDF.789_classificatory_status_specific_citation,SRDF.367_specific_citation_identifier,LAF.10_identifier_content,LAF.9_identifier_type",13,Yes,GLBM.2_Place,E53 Place,SRDF.789_classificatory_status_specific_citation,->aaao:ZP11i_is_classificatory_subject_of->aaao:ZE4_Classificatory_Status[SRDF.372_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.789_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.367_specific_citation_identifier,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1],Collection,SRDC.14_identifier,,http://vocab.getty.edu/aat/300445022,additional/pass,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,content,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],,,Concept,http://vocab.getty.edu/aat/300445022,additional
GLBMAP.136_alt_pref,3_Places,GLBMTAB.15_places_sample_Location Names,,alt_pref,PREF,,SRDF.522_appellative_status_type,1,Yes,GLBM.2_Place,E53 Place,SRDF.522_appellative_status_type,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF518_1]->crm:P2_has_type->crm:E55_Type[SRDF.522_1],Concept,,,,content,,,,,,,,,,,,,,,,,,,,
GLBMAP.138_label,3_Places,GLBMTAB.15_places_sample_Location Names,label,label,Adirampattinam,,SRDF.524_appellative_status_ascribed_appellation,3,Yes,GLBM.2_Place,E53 Place,SRDF.524_appellative_status_ascribed_appellation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->aaao:ZP6_ascribes_appellation->crm:E33_E41_Linguistic_Appellation[SRDF.524_1],Collection,SRDC.9_name,,,pass through,LAF.6_name_content,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content,,,,,,,,,,,,,
GLBMAP.139_label_remark,3_Places,GLBMTAB.15_places_sample_Location Names,label,label_remark,This label is used in a recent secondary work by Matthias van Rossum.,,SRDF.521_appellative_status_statement,4,Yes,GLBM.2_Place,E53 Place,SRDF.521_appellative_status_statement,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.521_1],Collection,SRDC.2_statement,,,pass through,LAF.15_statement_content,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[13_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,,content,,,,,,,,,,,,,
GLBMAP.140_label_type,3_Places,GLBMTAB.15_places_sample_Location Names,label,label_type,bla,,SRDF.524_appellative_status_ascribed_appellation,5,Yes,GLBM.2_Place,E53 Place,SRDF.524_appellative_status_ascribed_appellation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->aaao:ZP6_ascribes_appellation->crm:E33_E41_Linguistic_Appellation[SRDF.524_1],Collection,SRDC.9_name,,,pass through,LAF.5_name_type,->crm:P1_is_identified_by->crm:E33_E41_Linguistic_Appellation[4_1]->crm:P2_has_type->crm:E55_Type[5_1],Concept,,,,content,,,,,,,,,,,,,
GLBMAP.141_source,3_Places,GLBMTAB.15_places_sample_Location Names,source,source,GN,,"SRDF.787_appellative_status_specific_citation,SRDF.368_specific_citation_part_of_bibliographic_item",6,Yes,GLBM.2_Place,E53 Place,SRDF.787_appellative_status_specific_citation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.787_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.368_specific_citation_part_of_bibliographic_item,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P106i_forms_part_of->crm:E33_Linguistic_Object[SRDF.368_1],Reference Model,,SRDM.8_Bibliographic_Item,,content,,,,,,,,,,,,,
GLBMAP.142_source_page,3_Places,GLBMTAB.15_places_sample_Location Names,source,source_page,171-172,,"SRDF.787_appellative_status_specific_citation,SRDF.367_specific_citation_identifier,LAF.10_identifier_content,LAF.9_identifier_type",7,Yes,GLBM.2_Place,E53 Place,SRDF.787_appellative_status_specific_citation,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.787_1],Collection,SRDC.10_specific_citation,,,pass through,SRDF.367_specific_citation_identifier,->crm:P67i_is_referred_to_by->crm:E33_Linguistic_Object[SRDF.366_1]->crm:P1_is_identified_by->crm:E42_Identifier[SRDF.367_1],Collection,SRDC.14_identifier,,,pass through,LAF.10_identifier_content,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P190_has_symbolic_content->rdf:literal,String,,,content,LAF.9_identifier_type,->crm:P1_is_identified_by->crm:E42_Identifier[8_1]->crm:P2_has_type->crm:E55_Type[9_1],,,Concept,http://vocab.getty.edu/aat/300445022,additional
GLBMAP.143_temporal_scope,3_Places,GLBMTAB.15_places_sample_Location Names,,temporal_scope,bla,,"SRDF.526_appellative_status_time-span,LAF.25_timespan_begin_of_the_begin,LAF.26_timespan_end_of_the_end",8,Yes,GLBM.2_Place,E53 Place,SRDF.526_appellative_status_time-span,->aaao:ZP5i_is_appellative_subject_of->aaao:ZE2_Appellative_Status[SRDF.518_1]->crm:P4_has_time-span->crm:E52_Time-span[SRDF.526_1],Collection,SRDC.1_timespan,,,pass through,LAF.25_timespan_begin_of_the_begin,->crm:P4_has_time-span->crm:E52_Time-Span[22_1]->crm:P82a_begin_of_the_begin->xsl:date,Date,,,,content pass through,LAF.26_timespan_end_of_the_end,->crm:P4_has_time-span->crm:E52_Time-Span[22_1]->crm:P82b_end_of_the_end->xsl:date,Date,,,content,,,,,,,
